商品編號,商品名稱,商品價格,銷售量,商店名稱,分潤率,推廣分潤,商品連結,推廣連結
868804330,【AA飛鏢專賣店】Fit Point Plus 50入裝 [2BA],95,"4,000+",AA darts Shop AsiA 飛鏢專賣店,1%,$0.95,https://shopee.tw/product/50984140/868804330,https://s.shopee.tw/10yYaMbYwq
2348639038,【AA飛鏢專賣店】TARGET PIXEL TIP 50入裝 [2BA],95,350,AA darts Shop AsiA 飛鏢專賣店,1%,$0.95,https://shopee.tw/product/50984140/2348639038,https://s.shopee.tw/1BHymfavbt
903053372,【AA飛鏢專賣店】L-SHaft Lock Straight New Color 2020 塑膠/鎖桿(粗) 新顏色,133,"1,000+",AA darts Shop AsiA 飛鏢專賣店,1%,$1.33,https://shopee.tw/product/50984140/903053372,https://s.shopee.tw/gLiBkcpco
868833814,【AA飛鏢專賣店】L-style Premium Lippoint 30入裝 [2BA],133,965,AA darts Shop AsiA 飛鏢專賣店,1%,$1.33,https://shopee.tw/product/50984140/868833814,https://s.shopee.tw/qf8O3cCHr
902648309,【AA飛鏢專賣店】Fit Flight AIR（薄鏢翼）3入裝 素色鏢翼 [Shape],142,504,AA darts Shop AsiA 飛鏢專賣店,1%,$1.42,https://shopee.tw/product/50984140/902648309,https://s.shopee.tw/Lirn8e6Im
877015604,【AA飛鏢專賣店】Fit Flight AIR（薄鏢翼）3入裝 素色鏢翼 [Standard],142,104,AA darts Shop AsiA 飛鏢專賣店,1%,$1.42,https://shopee.tw/product/50984140/877015604,https://s.shopee.tw/W2HzRdSxp
2707139645,【AA飛鏢專賣店】Fit Flight AIR（薄鏢翼）3入裝 素色鏢翼 [Kite],142,44,AA darts Shop AsiA 飛鏢專賣店,1%,$1.42,https://shopee.tw/product/50984140/2707139645,https://s.shopee.tw/161OWfMyk
2514448015,【AA飛鏢專賣店】L-SHaft Lock Slim New Color 2020 塑膠/鎖桿(細) 新顏色,133,264,AA darts Shop AsiA 飛鏢專賣店,1%,$1.33,https://shopee.tw/product/50984140/2514448015,https://s.shopee.tw/BPRapejdn
2706954519,【AA飛鏢專賣店】Fit Flight AIR（薄鏢翼）3入裝 素色鏢翼 [Rocket],142,86,AA darts Shop AsiA 飛鏢專賣店,1%,$1.42,https://shopee.tw/product/50984140/2706954519,https://s.shopee.tw/2LTwAoWUFE
883326787,【AA飛鏢專賣店】Fit Flight AIR（薄鏢翼）3入裝 素色鏢翼 [Super Shape],142,77,AA darts Shop AsiA 飛鏢專賣店,1%,$1.42,https://shopee.tw/product/50984140/883326787,https://s.shopee.tw/2VnMN7VquH
2369457655,【AA飛鏢專賣店】L-style Premium Lippoint 30入裝 [No.5],152,228,AA darts Shop AsiA 飛鏢專賣店,1%,$1.52,https://shopee.tw/product/50984140/2369457655,https://s.shopee.tw/20r5mCXkvC
16881530965,【AA飛鏢專賣店】L-style Premium Lippoint LONG 30入裝 [2BA],152,89,AA darts Shop AsiA 飛鏢專賣店,1%,$1.52,https://shopee.tw/product/50984140/16881530965,https://s.shopee.tw/2BAVyVX7aF
905252508,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (White),161,552,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/905252508,https://s.shopee.tw/1gEFNaZ1bA
904946350,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Black),161,"1,000+",AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/904946350,https://s.shopee.tw/1qXfZtYOGD
905256726,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Clear),161,"1,000+",AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/905256726,https://s.shopee.tw/1LbOyyaIH8
7618124277,【AA飛鏢專賣店】Fit Flight Pro 素色鏢翼 [S-Type],161,269,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/7618124277,https://s.shopee.tw/1VupBHZewB
2425798231,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (Black),161,428,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2425798231,https://s.shopee.tw/3fzJlGRPXc
2420534054,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (Clear),161,546,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2420534054,https://s.shopee.tw/3qIjxZQmCf
905260763,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Light Blue),161,302,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/905260763,https://s.shopee.tw/3LMTMeSgDa
2425820787,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (White),161,238,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2425820787,https://s.shopee.tw/3VftYxS2sd
905309016,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Purple),161,190,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/905309016,https://s.shopee.tw/30jcy2TwtY
2442306716,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (Light Blue),161,103,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2442306716,https://s.shopee.tw/3B33ALTJYb
